alpha,steps
0.04,3005
0.04,4223
0.04,2250
0.04,2330
0.04,3177
0.04,3608
0.04,2879
0.04,2882
0.04,2642
0.04,2706
0.04,3352
0.04,3974
0.04,3754
0.04,4247
0.04,2812
0.04,1999
0.04,2511
0.04,2632
0.04,3216
0.04,2342
0.04,2993
0.04,2485
0.04,1586
0.04,3355
0.04,3304
0.04,2675
0.04,3419
0.04,2546
0.04,2161
0.04,2792
0.04,2213
0.04,2439
0.04,3474
0.04,2203
0.04,4292
0.04,2725
0.04,2025
0.04,3658
0.04,2851
0.04,3644
0.04,2192
0.04,2549
0.04,3590
0.04,3233
0.05,3506
0.05,3408
0.05,2518
0.05,2790
0.05,2417
0.05,1816
0.05,10673
0.05,929
0.05,1920
0.05,2864
0.05,1883
0.05,1836
0.05,1962
0.05,4860
0.05,2742
0.05,3929
0.05,2930
0.05,5014
0.05,1698
0.05,2672
0.05,2002
0.05,2735
0.05,3323
0.05,2066
0.05,1841
0.05,2530
0.05,2052
0.05,3616
0.05,3398
0.05,2908
0.05,2548
0.05,2258
0.05,5411
0.05,4535
0.05,1627
0.05,1712
0.05,2747
0.05,2828
0.05,2147
0.05,3384
0.05,3884
0.05,2334
0.05,2621
0.05,1945
0.05,4411
0.05,2698
0.05,2365
0.05,3055
0.05,2887
0.05,3210
0.05,3153
0.05,2764
0.05,2112
0.05,2783
0.05,3555
0.05,3693
0.05,3457
0.05,4344
0.05,3606
0.05,2708
0.05,3776
0.05,3665
0.05,1511
0.05,2845
0.05,3633
0.05,2966
0.05,2599
0.05,3316
0.05,3190
0.05,2969
0.05,2318
0.05,5204
0.05,4028
0.05,2849
0.05,4640
0.05,2483
0.05,1930
0.05,3227
0.05,2429
0.05,1775
0.05,2598
0.05,2237
0.05,4477
0.05,3438
0.05,2812
0.05,4988
0.05,2467
0.05,2557
0.05,3126
0.05,3193
0.05,2589
0.05,4431
0.05,2304
0.05,3833
0.05,2094
0.05,1982
0.05,2352
0.05,1689
0.05,3775
0.05,2200
0.06,3035
0.06,3996
0.06,2602
0.06,4460
0.06,2210
0.06,2909
0.06,3029
0.06,2371
0.06,3075
0.06,4202
0.06,3408
0.06,3786
0.06,2422
0.06,5489
0.06,2102
0.06,3084
0.06,4053
0.06,2436
0.06,2828
0.06,2472
0.06,2745
0.06,2248
0.06,3646
0.06,2330
0.06,3959
0.06,3785
0.06,3420
0.06,2168
0.06,3677
0.06,1911
0.06,2256
0.06,2363
0.06,1386
0.06,2546
0.06,2422
0.06,1604
0.06,7332
0.06,2285
0.06,2776
0.06,2472
0.06,1791
0.06,2290
0.06,3504
0.06,4272
0.06,2136
0.06,2563
0.06,2239
0.06,2564
0.06,2526
0.06,6060
0.06,1933
0.06,2973
0.06,1391
0.06,3332
0.06,2532
0.06,2009
0.06,3528
0.06,2194
0.06,4374
0.06,3866
0.06,4315
0.06,1350
0.06,3503
0.06,3332
0.06,2735
0.06,3380
0.06,3113
0.06,3729
0.06,2019
0.06,3448
0.06,5138
0.06,3659
0.06,3275
0.06,3288
0.06,2913
0.06,2541
0.06,2248
0.06,2798
0.06,2753
0.06,1970
0.06,2468
0.06,3101
0.06,1578
0.06,2240
0.06,3041
0.06,2085
0.06,2435
0.06,2563
0.06,2962
0.06,3927
0.06,1406
0.06,3521
0.06,3233
0.06,3054
0.06,3474
0.06,2550
0.06,4231
0.06,2122
0.06,4842
0.06,2485
0.07,2148
0.07,4706
0.07,4221
0.07,3175
0.07,3349
0.07,2879
0.07,3191
0.07,2005
0.07,3632
0.07,2799
0.07,1932
0.07,2744
0.07,2754
0.07,4134
0.07,5010
0.07,3249
0.07,4240
0.07,1781
0.07,2902
