alpha,steps
0.19,2567
0.19,4687
0.19,3844
0.19,4348
0.19,4514
0.2,4841
0.2,5009
0.2,2518
0.2,4301
0.2,3798
0.2,4728
0.2,2430
0.2,2901
0.2,2714
0.2,3274
0.2,3393
0.2,3917
0.2,4229
0.2,2530
0.2,4461
0.2,3380
0.2,4689
0.2,2020
0.2,5340
0.2,4756
0.2,2536
0.2,5229
0.2,4480
0.2,2239
0.2,4020
0.2,6345
0.2,4022
0.2,2725
0.2,3956
0.2,4610
0.2,2965
0.2,6569
0.2,3921
0.2,4749
0.2,3885
0.2,5833
0.2,5252
0.2,5860
0.2,3265
0.2,3164
0.2,5792
0.2,2992
0.2,3627
0.2,4944
0.2,1733
0.2,4035
0.2,3859
0.2,3051
0.2,3352
0.2,5020
0.2,4651
0.2,3178
0.2,3528
0.2,3299
0.2,6100
0.2,4224
0.2,4635
0.2,5908
0.2,4034
0.2,2165
0.2,4341
0.2,4276
0.2,2289
0.2,3040
0.2,4625
0.2,5855
0.2,4466
0.2,4408
0.2,2516
0.2,3834
0.2,2740
0.2,3868
0.2,8391
0.2,4401
0.2,2690
0.2,4098
0.2,3509
0.2,2917
0.2,3476
0.2,2870
0.2,3772
0.2,5400
0.2,3422
0.2,3218
0.2,4183
0.2,3371
0.2,5621
0.2,6442
0.2,7166
0.2,4481
0.2,4763
0.2,2514
0.2,4098
0.2,6962
0.2,3555
0.2,3479
0.2,2866
0.2,6653
0.2,4026
0.2,4095
0.21,2618
0.21,4435
0.21,2981
0.21,2756
0.21,3662
0.21,3589
0.21,5045
0.21,4435
0.21,3070
0.21,3032
0.21,3177
0.21,1816
0.21,2598
0.21,6013
0.21,5822
0.21,4712
0.21,3359
0.21,3902
0.21,5717
0.21,3936
0.21,3262
0.21,4196
0.21,8116
0.21,5500
0.21,3510
0.21,2482
0.21,2939
0.21,5683
0.21,3309
0.21,3586
0.21,3081
0.21,3834
0.21,3072
0.21,2653
0.21,3128
0.21,3277
0.21,3126
0.21,4381
0.21,4682
0.21,2534
0.21,4052
0.21,4233
0.21,4227
0.21,3091
0.21,2872
0.21,4654
0.21,2406
0.21,4784
0.21,2982
0.21,4294
0.21,3339
0.21,5905
0.21,4052
0.21,4083
0.21,4825
0.21,2945
0.21,6856
0.21,3187
0.21,5632
0.21,3047
0.21,4282
0.21,4066
0.21,3757
0.21,4556
0.21,3278
0.21,3504
0.21,2577
0.21,4141
0.21,3200
0.21,3339
0.21,5524
0.21,3234
0.21,2588
0.21,3509
0.21,3667
0.21,6802
0.21,2572
0.21,3348
0.21,3566
0.21,4734
0.21,4721
0.21,4210
0.21,2837
0.21,4663
0.21,5640
0.21,2007
0.21,3479
0.21,3334
0.21,4645
0.21,5149
0.21,5216
0.21,2515
0.21,3689
0.21,2959
0.21,5655
0.21,6610
0.21,3809
0.21,4336
0.21,4308
0.21,3441
0.22,3468
0.22,2472
0.22,3982
0.22,3847
0.22,5733
0.22,5009
0.22,3925
0.22,6371
0.22,3374
0.22,2992
0.22,2456
0.22,4684
0.22,2474
0.22,5833
0.22,2821
0.22,3757
0.22,5151
0.22,5309
0.22,3278
0.22,3780
0.22,4191
0.22,2995
0.22,5580
0.22,3593
0.22,3592
0.22,4620
0.22,3591
0.22,6435
0.22,3675
0.22,3294
0.22,4509
0.22,4220
0.22,5014
0.22,3558
0.22,2951
0.22,3149
0.22,4217
0.22,4770
0.22,7712
0.22,5348
0.22,4783
0.22,3390
0.22,4085
0.22,2679
0.22,4036
0.22,3511
0.22,4987
0.22,3420
0.22,2925
0.22,7715
0.22,4138
0.22,5409
0.22,5596
0.22,3459
0.22,3564
0.22,2687
0.22,4618
0.22,6182
0.22,3161
0.22,5560
0.22,2487
0.22,3449
0.22,3657
0.22,4246
0.22,3730
0.22,3223
0.22,2754
0.22,3750
0.22,4397
0.22,3007
0.22,5700
0.22,4892
0.22,3592
0.22,4585
0.22,3446
0.22,5184
0.22,7094
0.22,5075
0.22,4766
0.22,2990
0.22,4401
0.22,3180
0.22,3276
0.22,2935
0.22,2984
0.22,3668
0.22,4901
0.22,3127
0.22,5910
0.22,4665
0.22,3481
0.22,4321
0.22,3735
0.22,3130
0.22,6573
0.22,4154
0.22,3499
0.22,4541
0.22,5409
0.22,4241
0.23,4287
0.23,3720
0.23,2720
0.23,2550
0.23,4443
0.23,6008
0.23,3616
0.23,3426
0.23,3544
0.23,5721
0.23,3249
0.23,4675
0.23,2571
0.23,4903
0.23,3536
0.23,4248
0.23,2307
0.23,4368
0.23,4579
0.23,4219
0.23,4759
0.23,4988
0.23,4106
0.23,2724
0.23,2858
0.23,5091
0.23,3005
0.23,3579
0.23,6317
0.23,4022
0.23,2878
0.23,5989
0.23,3742
0.23,2263
0.23,3064
0.23,2791
0.23,2904
0.23,3968
0.23,5032
0.23,4048
0.23,2526
0.23,7216
0.23,4906
0.23,6081
0.23,3819
0.23,4651
0.23,3230
0.23,4523
0.23,2710
0.23,3434
0.23,2941
0.23,4583
0.23,4866
0.23,6916
0.23,3730
0.23,4665
0.23,5405
0.23,5030
0.23,6418
0.23,3205
0.23,3684
0.23,3653
0.23,4201
0.23,3058
0.23,6300
0.23,3400
0.23,5484
0.23,3618
0.23,5579
0.23,3750
0.23,3839
0.23,5788
0.23,3268
0.23,3492
0.23,4749
0.23,4990
0.23,4617
0.23,4589
0.23,4851
0.23,3025
0.23,3286
0.23,5246
0.23,4394
0.23,4805
0.23,2593
0.23,3438
0.23,2104
0.23,5139
0.23,3766
0.23,5911
0.23,3001
0.23,2558
0.23,3278
0.23,3641
0.23,4079
0.23,2773
0.23,4712
0.23,2939
0.23,3363
0.23,6436
0.24,2924
0.24,2754
0.24,3700
0.24,4195
0.24,5750
0.24,4932
0.24,3110
0.24,3919
0.24,4446
0.24,2437
0.24,5272
0.24,3869
0.24,4231
0.24,7679
0.24,5096
0.24,3590
0.24,4069
0.24,5639
0.24,4008
0.24,4518
0.24,4203
0.24,4701
0.24,5039
0.24,3684
0.24,3619
0.24,6432
0.24,6710
0.24,5021
0.24,5490
0.24,3700
0.24,2378
0.24,3918
0.24,5077
0.24,3181
0.24,3427
0.24,3126
0.24,4470
0.24,7286
0.24,3991
0.24,3262
0.24,4510
0.24,2914
0.24,3248
0.24,2708
0.24,4956
0.24,3667
0.24,3297
0.24,3063
0.24,3600
0.24,5643
0.24,2468
0.24,2446
0.24,3316
0.24,5466
0.24,5434
0.24,3819
0.24,1976
0.24,3846
0.24,5614
0.24,2269
0.24,4435
0.24,3342
0.24,4366
0.24,3742
0.24,1847
0.24,5973
0.24,3860
0.24,6196
0.24,4735
0.24,4613
0.24,3935
0.24,4619
0.24,2962
0.24,3525
0.24,5179
0.24,3642
0.24,4465
0.24,5406
0.24,3811
0.24,5513
0.24,4574
0.24,5660
0.24,3599
0.24,2989
0.24,5105
0.24,3463
0.24,3241
0.24,2894
0.24,3297
0.24,3559
0.24,6049
0.24,2842
0.24,4464
0.24,2503
0.24,2957
0.24,3477
0.24,4387
0.24,6423
0.24,4753
0.24,7367
0.25,5918
0.25,3656
0.25,4087
0.25,3578
0.25,4795
0.25,4538
0.25,5022
0.25,3076
0.25,6745
0.25,3574
0.25,2907
0.25,3058
0.25,6147
0.25,4003
0.25,5286
0.25,6041
0.25,4967
0.25,5197
0.25,4565
0.25,3735
0.25,9954
0.25,7210
0.25,8592
0.25,4209
0.25,4876
0.25,7350
0.25,2783
0.25,4285
0.25,5223
0.25,3422
0.25,4580
0.25,4526
0.25,3486
0.25,4149
0.25,2941
0.25,4334
0.25,4968
0.25,5339
0.25,2218
0.25,5666
0.25,3013
0.25,3970
0.25,4675
0.25,5435
0.25,4421
0.25,2495
0.25,2426
0.25,3421
0.25,8116
0.25,3395
0.25,3792
0.25,4584
0.25,5405
0.25,8197
0.25,4216
0.25,2739
0.25,5734
0.25,3809
0.25,5001
0.25,4643
0.25,4810
0.25,5595
0.25,2810
0.25,4460
0.25,4585
0.25,3145
0.25,4646
0.25,3927
0.25,6089
0.25,6885
0.25,4666
0.25,5136
0.25,4542
0.25,2647
0.25,3199
0.25,3848
0.25,8544
0.25,3615
0.25,2377
0.25,2330
0.25,5030
0.25,6850
0.25,2845
0.25,5736
0.25,5877
0.25,5309
0.25,5082
0.25,5403
0.25,4327
0.25,3490
0.25,5114
0.25,4505
0.25,3773
0.25,5281
0.25,1713
0.25,4536
0.25,3247
0.25,3064
0.25,4483
0.25,5420
0.26,5465
0.26,3266
0.26,5863
0.26,4307
0.26,2741
0.26,5501
0.26,4489
0.26,8079
0.26,3242
0.26,3322
0.26,3817
0.26,3703
0.26,3296
0.26,5169
0.26,2719
0.26,5182
0.26,3415
0.26,5483
0.26,3441
0.26,5456
0.26,4047
0.26,4297
0.26,5546
0.26,3191
0.26,5680
0.26,5255
0.26,4368
0.26,2677
0.26,5886
0.26,4855
0.26,5132
0.26,3308
0.26,4059
0.26,3549
0.26,5453
0.26,5108
0.26,7074
0.26,4340
0.26,4702
0.26,5831
0.26,3582
0.26,6924
0.26,3704
0.26,2898
0.26,3105
0.26,3565
0.26,4044
0.26,2524
0.26,4230
0.26,3687
0.26,3231
0.26,3453
0.26,3335
0.26,2637
0.26,3910
0.26,3874
0.26,6220
0.26,4365
0.26,9297
0.26,3696
0.26,3174
0.26,1922
0.26,4402
0.26,3395
0.26,3069
0.26,3514
0.26,4241
0.26,3036
0.26,3477
0.26,7262
0.26,6846
0.26,4003
0.26,3649
0.26,4810
0.26,2353
0.26,3634
0.26,2909
0.26,4373
0.26,3892
0.26,4472
0.26,4579
0.26,6112
0.26,3090
0.26,4756
0.26,4155
0.26,4298
0.26,4872
0.26,6471
0.26,5405
0.26,4083
0.26,5172
0.26,3604
0.26,3616
0.26,2696
0.26,2708
0.26,4725
0.26,6613
0.26,5209
0.26,3960
0.26,7951
0.27,10204
0.27,7809
0.27,3977
0.27,5298
0.27,4056
0.27,3529
0.27,4966
0.27,6564
0.27,6073
0.27,5018
0.27,2987
0.27,3781
0.27,6478
0.27,4759
0.27,5271
0.27,3470
0.27,5312
0.27,4197
0.27,4624
0.27,4710
0.27,6389
0.27,5469
0.27,4758
0.27,4365
0.27,4223
0.27,3108
0.27,3039
0.27,3362
0.27,3748
0.27,4534
0.27,3001
0.27,6559
0.27,3254
0.27,6225
0.27,4310
0.27,5036
0.27,3139
0.27,5221
0.27,4663
0.27,4425
0.27,4870
0.27,3632
0.27,3066
0.27,7198
0.27,2770
0.27,3745
0.27,6359
0.27,3148
0.27,4014
0.27,4409
0.27,4059
0.27,4568
0.27,2393
0.27,3965
0.27,4352
0.27,6374
0.27,4012
0.27,4043
0.27,5373
0.27,3064
0.27,6252
0.27,4134
0.27,4139
0.27,5040
0.27,3185
0.27,6387
0.27,3739
0.27,5179
0.27,4264
0.27,3287
0.27,5173
0.27,4828
0.27,3712
0.27,4098
0.27,3544
0.27,5777
0.27,4422
0.27,5148
0.27,3966
0.27,4529
0.27,2849
0.27,7337
0.27,4085
0.27,4436
0.27,8255
0.27,3583
0.27,4992
0.27,4542
0.27,5631
0.27,6270
0.27,3859
0.27,4816
0.27,5307
0.27,2450
0.27,4137
0.27,3153
0.27,2833
0.27,3698
0.27,6618
0.27,5294
0.28,2793
0.28,5540
0.28,5143
0.28,4520
0.28,3741
0.28,3083
0.28,2549
0.28,5852
0.28,4188
0.28,3553
0.28,4788
0.28,5217
0.28,5368
0.28,3939
0.28,3836
0.28,5289
0.28,5120
0.28,5300
0.28,3264
0.28,3512
0.28,5746
0.28,3206
0.28,4757
0.28,4802
0.28,6603
0.28,5035
0.28,3792
0.28,4932
0.28,5363
0.28,5157
0.28,6168
0.28,4011
0.28,8647
0.28,3927
0.28,3817
0.28,5375
0.28,3286
0.28,2695
0.28,6390
0.28,4471
0.28,3976
0.28,5807
0.28,6064
0.28,3556
0.28,3440
0.28,3854
0.28,5185
0.28,3718
0.28,3169
0.28,5648
0.28,3865
0.28,5232
0.28,3091
0.28,6230
0.28,2922
0.28,8011
0.28,3526
0.28,4241
0.28,5351
0.28,4304
0.28,5988
0.28,7192
0.28,4654
0.28,3982
0.28,5396
0.28,4208
0.28,7312
0.28,5680
0.28,3734
0.28,5627
0.28,3892
0.28,5341
0.28,6442
0.28,5975
0.28,3908
0.28,5809
0.28,3973
0.28,5223
0.28,4840
0.28,3693
0.28,3999
0.28,4361
0.28,3797
0.28,5317
0.28,7408
0.28,2866
0.28,3094
0.28,3863
0.28,3440
0.28,4751
0.28,3679
0.28,6816
0.28,3884
0.28,3978
0.28,6902
0.28,4292
0.28,3717
0.28,5247
0.28,6472
0.28,4238
0.29,7371
0.29,4497
0.29,5708
0.29,7167
0.29,6666
0.29,9628
0.29,4372
0.29,5942
0.29,6403
0.29,3290
0.29,3863
0.29,5683
0.29,4499
0.29,3154
0.29,5445
0.29,4093
0.29,3519
0.29,4141
0.29,4804
0.29,2786
0.29,4768
0.29,4948
0.29,3264
0.29,5704
0.29,3022
0.29,7538
0.29,7008
0.29,6786
0.29,5417
0.29,5219
0.29,6803
0.29,6469
0.29,4326
0.29,4861
0.29,3733
0.29,2529
0.29,5206
0.29,6266
0.29,10261
0.29,3993
0.29,3681
0.29,4803
0.29,4698
0.29,3173
0.29,3397
0.29,5404
0.29,7269
0.29,3610
0.29,8698
0.29,6409
0.29,5581
0.29,8530
0.29,3771
0.29,4443
0.29,3674
0.29,5754
0.29,4551
0.29,7381
0.29,5678
0.29,4337
0.29,2998
0.29,3685
0.29,4443
0.29,6845
0.29,6556
0.29,5056
0.29,4992
0.29,2696
0.29,2483
0.29,3072
0.29,4932
0.29,4852
0.29,3137
0.29,5170
0.29,4957
0.29,6767
0.29,6050
0.29,3233
0.29,1979
0.29,5275
0.29,3598
0.29,3210
0.29,3173
0.29,5608
0.29,5167
0.29,5886
0.29,3417
0.29,3584
0.29,3607
0.29,3416
0.29,3412
0.29,4247
0.29,3698
0.29,3349
0.29,6427
0.29,5593
0.29,2171
0.29,5512
0.29,5390
0.29,4047
0.3,3757
0.3,2986
0.3,6112
0.3,3000
0.3,4140
0.3,6162
0.3,5708
0.3,4384
0.3,5513
0.3,4176
0.3,4489
0.3,4126
0.3,4126
0.3,3009
0.3,2769
0.3,4438
0.3,6966
0.3,4871
0.3,2686
0.3,3672
0.3,5454
0.3,4281
0.3,3724
0.3,5246
0.3,4489
0.3,3981
0.3,6011
0.3,4706
0.3,7121
0.3,3219
0.3,7057
0.3,3840
0.3,3238
0.3,3861
0.3,3741
0.3,5638
0.3,2505
0.3,3597
0.3,3256
0.3,6647
0.3,3821
0.3,4096
0.3,4985
0.3,4446
0.3,6559
0.3,2649
0.3,3084
0.3,5058
0.3,3637
0.3,4008
0.3,4365
0.3,3136
0.3,6294
0.3,5020
0.3,2882
0.3,5156
0.3,8001
0.3,3740
0.3,4203
0.3,5253
0.3,3441
0.3,4676
0.3,4606
0.3,4520
0.3,7622
0.3,8088
0.3,5445
0.3,4572
0.3,3144
0.3,6173
0.3,5666
0.3,5144
0.3,4278
0.3,5807
0.3,4375
0.3,4852
0.3,3313
0.3,4868
0.3,4648
0.3,5674
0.3,3506
0.3,3211
0.3,4369
0.3,4833
0.3,7984
0.3,6624
0.3,6483
0.3,5462
0.3,4711
0.3,6705
0.3,4910
0.3,7240
0.3,4799
0.3,5159
0.3,5206
0.3,6202
0.3,7901
0.3,6011
0.3,6100
0.3,4627
0.31,4132
0.31,5293
0.31,5238
0.31,5799
0.31,4011
0.31,6949
0.31,5834
0.31,4106
0.31,4598
0.31,4620
0.31,4525
0.31,5365
0.31,7143
0.31,2794
0.31,3615
0.31,7866
0.31,4243
0.31,5469
0.31,3337
0.31,5645
0.31,3132
0.31,7869
0.31,8450
0.31,4641
0.31,5701
0.31,3161
0.31,4322
0.31,6330
0.31,5687
0.31,4499
0.31,5568
0.31,4406
0.31,7034
0.31,5590
0.31,4802
0.31,7129
0.31,3808
0.31,7256
0.31,3681
0.31,4973
0.31,6351
0.31,8141
0.31,3894
0.31,4590
0.31,3296
0.31,7078
0.31,5399
0.31,3631
0.31,2884
0.31,4838
0.31,4756
0.31,5580
0.31,4210
0.31,8367
0.31,6888
0.31,6279
0.31,5999
0.31,4004
0.31,6788
0.31,5916
0.31,4993
0.31,6614
0.31,3122
0.31,5076
0.31,4762
0.31,7114
0.31,2994
0.31,3408
0.31,4214
0.31,4284
0.31,8034
0.31,4755
0.31,2870
0.31,6308
0.31,2753
0.31,4807
0.31,2523
0.31,3702
0.31,4746
0.31,3717
0.31,7954
0.31,3087
0.31,3702
0.31,5686
0.31,5677
0.31,3477
0.31,3931
0.31,4313
0.31,3635
0.31,5096
0.31,4224
0.31,3382
0.31,6184
0.31,3471
0.31,3519
0.31,6878
0.31,5771
0.31,8634
0.31,3011
0.31,4726
0.32,4650
0.32,4432
0.32,4948
0.32,4512
0.32,6617
0.32,5380
0.32,4520
0.32,2709
0.32,4675
0.32,6762
0.32,3089
0.32,2399
0.32,4101
0.32,2937
0.32,5271
0.32,4801
0.32,6172
0.32,4541
0.32,6144
0.32,5013
0.32,5892
0.32,3860
0.32,4994
0.32,3295
0.32,6799
0.32,4335
0.32,4208
0.32,5754
0.32,4577
0.32,5444
0.32,3414
0.32,4690
0.32,3141
0.32,6340
0.32,6522
0.32,5386
0.32,6686
0.32,4724
0.32,4421
0.32,4670
0.32,3740
0.32,5151
0.32,5320
0.32,7206
0.32,5799
0.32,6145
0.32,4292
0.32,6664
0.32,2909
0.32,3723
0.32,5110
0.32,3689
0.32,5598
0.32,3302
0.32,5864
0.32,6635
0.32,6249
0.32,6785
0.32,4385
0.32,5956
0.32,4554
0.32,5237
0.32,5933
0.32,4091
0.32,7993
0.32,4583
0.32,6239
0.32,8980
0.32,3879
0.32,6025
0.32,4499
0.32,6659
0.32,5957
0.32,4628
0.32,3359
0.32,3857
0.32,7318
0.32,5304
0.32,4874
0.32,7287
0.32,5252
0.32,5104
0.32,7544
0.32,3559
0.32,6772
0.32,3739
0.32,2684
0.32,5062
0.32,4217
0.32,3852
0.32,4964
0.32,4181
0.32,4355
0.32,3392
0.32,5435
0.32,5448
0.32,11274
0.32,6534
0.32,3736
0.32,5181
0.33,3635
0.33,6000
0.33,4176
0.33,8173
0.33,7671
0.33,3515
0.33,4088
0.33,6389
0.33,3721
0.33,6660
0.33,7357
0.33,2667
0.33,7180
0.33,5565
0.33,6420
0.33,4866
0.33,6683
0.33,4803
0.33,6182
0.33,3586
0.33,6125
0.33,4859
0.33,5505
0.33,10472
0.33,4604
0.33,3746
0.33,3212
0.33,6332
0.33,9376
0.33,5168
0.33,4902
0.33,6047
0.33,3992
0.33,6390
0.33,8171
0.33,4379
0.33,6393
0.33,6204
0.33,6485
0.33,2920
0.33,4060
0.33,11253
0.33,3609
0.33,5204
0.33,5047
0.33,5026
0.33,7085
0.33,2074
0.33,4652
0.33,6121
0.33,3326
0.33,4914
0.33,7919
0.33,7379
0.33,3909
0.33,4973
0.33,6104
0.33,5400
0.33,4262
0.33,4149
0.33,4283
0.33,4816
0.33,3338
0.33,5840
0.33,4777
0.33,5555
0.33,5294
0.33,4178
0.33,4394
0.33,6024
0.33,4891
0.33,4028
0.33,7150
0.33,3171
0.33,3704
0.33,4981
0.33,9198
0.33,5939
0.33,6946
0.33,2928
0.33,4186
0.33,4976
0.33,5194
0.33,5393
0.33,5327
0.33,8012
0.33,4351
0.33,8192
0.33,3277
0.33,3509
0.33,8176
0.33,5502
0.33,6323
0.33,5124
0.33,2469
0.33,3533
0.33,4276
0.33,4540
0.33,6151
0.33,4374
0.34,6034
0.34,4330
0.34,3103
0.34,6113
0.34,7247
0.34,6837
0.34,3101
0.34,5869
0.34,9942
0.34,8228
0.34,4218
0.34,6659
0.34,7193
0.34,5308
0.34,10618
0.34,4253
0.34,5466
0.34,3754
0.34,3447
0.34,7047
0.34,6867
0.34,7413
0.34,6977
0.34,6450
0.34,4724
0.34,4453
0.34,8901
0.34,7593
0.34,6911
0.34,4682
0.34,3271
0.34,3507
0.34,4273
0.34,8092
0.34,4255
0.34,5851
0.34,5065
0.34,3766
0.34,4591
0.34,5715
0.34,6792
0.34,7875
0.34,4269
0.34,6948
0.34,5720
0.34,3404
0.34,5368
0.34,5040
0.34,3144
0.34,6929
0.34,5539
0.34,8028
0.34,4521
0.34,4577
0.34,5397
0.34,4003
0.34,3416
0.34,5077
0.34,6837
0.34,3129
0.34,13723
0.34,7565
0.34,6177
0.34,6293
0.34,7774
0.34,5197
0.34,3052
0.34,3462
0.34,6805
0.34,6032
0.34,6478
0.34,8348
0.34,6024
0.34,3657
0.34,3837
0.34,5937
0.34,5947
0.34,2229
0.34,5996
0.34,4874
0.34,6029
0.34,4497
0.34,5000
0.34,5788
0.34,6240
0.34,4705
0.34,3870
0.34,4838
0.34,5993
0.34,6904
0.34,2115
0.34,6055
0.34,4010
0.34,2988
0.34,3333
0.34,3427
0.34,5242
0.34,4571
0.34,8488
0.34,7625
0.35,8516
0.35,6143
0.35,9344
0.35,3317
0.35,6581
0.35,12062
0.35,3473
0.35,4794
0.35,7769
0.35,5216
0.35,6646
0.35,3110
0.35,7596
0.35,4071
0.35,6960
0.35,6700
0.35,4164
0.35,4836
0.35,4075
0.35,7857
0.35,4629
0.35,4081
0.35,4959
0.35,6687
0.35,7352
0.35,7048
0.35,4632
0.35,5407
0.35,4188
0.35,8460
0.35,4252
0.35,7454
0.35,4328
0.35,3918
0.35,4774
0.35,4012
0.35,3010
0.35,7972
0.35,5084
0.35,5236
0.35,5085
0.35,7623
0.35,9074
0.35,5293
0.35,5299
0.35,9521
0.35,8147
0.35,4039
0.35,4484
0.35,5531
0.35,5195
0.35,5828
0.35,6612
0.35,5249
0.35,3821
0.35,4910
0.35,4332
0.35,5267
0.35,4524
0.35,4790
0.35,6389
0.35,4943
0.35,4669
0.35,3911
0.35,4271
0.35,6993
0.35,5511
0.35,7901
0.35,6000
0.35,4402
0.35,6014
0.35,3869
0.35,5056
0.35,2830
0.35,4604
0.35,8530
0.35,4937
0.35,6110
0.35,2650
0.35,3876
0.35,4015
0.35,6294
0.35,3076
0.35,4798
0.35,3893
0.35,3689
0.35,4208
0.35,3484
0.35,4937
0.35,7334
0.35,3010
0.35,4366
0.35,5084
0.35,2964
0.35,5118
0.35,7145
0.35,4781
0.35,4754
0.35,10398
0.35,4226
0.36,6486
0.36,4767
0.36,4494
0.36,4678
0.36,6369
0.36,6171
0.36,4923
0.36,4838
0.36,6712
0.36,5637
0.36,4424
0.36,7797
0.36,5043
0.36,3413
0.36,5292
0.36,4621
0.36,5746
0.36,7134
0.36,5094
0.36,5353
0.36,4987
0.36,5875
0.36,3506
0.36,6772
0.36,5717
0.36,5521
0.36,3750
0.36,4935
0.36,5209
0.36,5786
0.36,5513
0.36,7114
0.36,3936
0.36,5521
0.36,4253
0.36,4342
0.36,3114
0.36,4858
0.36,3633
0.36,5456
0.36,2934
0.36,6422
0.36,5109
0.36,5709
0.36,3637
0.36,4793
0.36,6656
0.36,4735
0.36,3405
0.36,6926
0.36,4419
0.36,7181
0.36,7476
0.36,6534
0.36,5629
0.36,3427
0.36,7026
0.36,5154
0.36,8120
0.36,4812
0.36,7440
0.36,7220
0.36,5485
0.36,4181
0.36,4890
0.36,4518
0.36,6900
0.36,4496
0.36,5071
0.36,6133
0.36,8476
0.36,5146
0.36,3558
0.36,5970
0.36,5114
0.36,5114
0.36,5120
0.36,3512
0.36,5169
0.36,5320
0.36,7757
0.36,5212
0.36,5177
0.36,8688
0.36,6204
0.36,8360
0.36,5093
0.36,9709
0.36,6467
0.36,7964
0.36,6220
0.36,5374
0.36,4167
0.36,6676
0.36,3878
0.36,3266
0.36,5611
0.36,7072
0.36,6518
0.36,2745
0.37,6349
0.37,2986
0.37,2752
0.37,3702
0.37,4809
0.37,6759
0.37,6546
0.37,8550
0.37,7055
0.37,5681
0.37,3994
0.37,7020
0.37,12999
0.37,3846
0.37,7223
0.37,5629
0.37,3085
0.37,7024
0.37,4516
0.37,3981
0.37,3985
0.37,4335
0.37,6731
0.37,8004
0.37,5807
0.37,5979
0.37,5922
0.37,4259
0.37,3990
0.37,3639
0.37,12266
0.37,3996
0.37,5367
0.37,4648
0.37,5220
0.37,9426
0.37,3666
0.37,6093
0.37,5460
0.37,5744
0.37,3021
0.37,8005
0.37,5715
0.37,5286
0.37,5096
0.37,6315
0.37,6185
0.37,3862
0.37,5654
0.37,5425
0.37,6780
0.37,4866
0.37,11591
0.37,7259
0.37,5445
0.37,2915
0.37,4945
0.37,5535
0.37,12223
0.37,5101
0.37,5256
0.37,6974
0.37,7752
0.37,7885
0.37,6143
0.37,4555
0.37,6858
0.37,4671
0.37,4036
0.37,5132
0.37,4211
0.37,5158
0.37,7041
0.37,3269
0.37,4004
0.37,5119
0.37,16741
0.37,6747
0.37,4775
0.37,4931
0.37,5313
0.37,5103
0.37,6058
0.37,9121
0.37,8118
0.37,3082
0.37,4638
0.37,5578
0.37,5349
0.37,5066
0.37,8342
0.37,7316
0.37,4590
0.37,7645
0.37,4393
0.37,5798
0.37,5199
0.37,5300
0.37,5457
0.37,6139
0.38,5909
0.38,5092
0.38,7127
0.38,6574
0.38,7823
0.38,6563
0.38,5335
0.38,6044
0.38,5493
0.38,4537
0.38,5696
0.38,8814
0.38,5417
0.38,4192
0.38,6285
0.38,3416
0.38,5290
0.38,5685
0.38,4408
0.38,6185
0.38,7944
0.38,7905
0.38,4535
0.38,6260
0.38,3263
0.38,5601
0.38,4522
0.38,4348
0.38,4617
0.38,7172
0.38,3257
0.38,5867
0.38,4549
0.38,3831
0.38,7172
0.38,6926
0.38,3324
0.38,6867
0.38,5970
0.38,5831
0.38,6722
0.38,5530
0.38,6078
0.38,7130
0.38,6318
0.38,5717
0.38,5981
0.38,2772
0.38,4339
0.38,5227
0.38,5918
0.38,11398
0.38,7286
0.38,5743
0.38,6510
0.38,5310
0.38,3193
0.38,6000
0.38,3396
0.38,3962
0.38,5943
0.38,7277
0.38,2935
0.38,6805
0.38,3752
0.38,6325
0.38,4330
0.38,6264
0.38,5508
0.38,5951
0.38,4892
0.38,5235
0.38,7664
0.38,7963
0.38,7590
0.38,4936
0.38,8938
0.38,9052
0.38,4325
0.38,4755
0.38,8440
0.38,4922
0.38,6733
0.38,5597
0.38,8859
0.38,4401
0.38,3387
0.38,5441
0.38,11021
0.38,6333
0.38,5942
0.38,4926
0.38,6514
0.38,2806
0.38,5821
0.38,7404
0.38,5965
0.38,5171
0.38,3071
0.38,3329
0.39,8934
0.39,11485
0.39,6059
0.39,7416
0.39,5030
0.39,7216
0.39,12179
0.39,5203
0.39,7723
0.39,11349
0.39,6510
0.39,3413
0.39,6271
0.39,5061
0.39,5528
0.39,6922
0.39,7337
0.39,3652
0.39,8058
0.39,7206
0.39,10653
0.39,5069
0.39,6706
0.39,5303
0.39,10298
0.39,5363
0.39,6532
0.39,4940
0.39,4720
0.39,5514
0.39,6502
0.39,7601
0.39,4876
0.39,4689
0.39,3970
0.39,5107
0.39,4649
0.39,5948
0.39,7950
0.39,4568
0.39,6363
0.39,6443
0.39,5193
0.39,8114
0.39,3922
0.39,6469
0.39,6292
0.39,9823
0.39,4140
0.39,6187
0.39,4187
0.39,4953
0.39,3918
0.39,6642
0.39,6660
0.39,8233
0.39,3289
0.39,8920
0.39,5836
0.39,5605
0.39,3482
0.39,3101
0.39,5359
0.39,6030
0.39,9495
0.39,6176
0.39,4380
0.39,4878
0.39,4367
0.39,4905
0.39,3591
0.39,4527
0.39,4121
0.39,6932
0.39,4405
0.39,4624
0.39,5722
0.39,6488
0.39,4802
0.39,8847
0.39,8367
0.39,9799
0.39,5014
0.39,4470
0.39,3916
0.39,8762
0.39,5537
0.39,4863
0.39,8561
0.39,6372
0.39,9680
0.39,5026
0.39,7220
0.39,4738
