alpha,steps
0.05,2418
0.05,3584
0.05,3264
0.05,3575
0.05,4812
0.05,2259
0.05,4366
0.05,2304
0.05,2580
0.05,2646
0.05,4605
0.05,3063
0.05,2915
0.05,5046
0.05,2317
0.05,3386
0.05,3865
0.05,2928
0.05,2488
0.05,2705
0.05,2697
0.05,2707
0.05,2356
0.05,2244
0.05,3049
0.05,3583
0.05,2475
0.05,3562
0.05,4392
0.05,3005
0.05,4860
0.05,3643
0.05,3684
0.05,3558
0.05,3687
0.05,2055
0.05,3312
0.05,3774
0.05,2931
0.05,3515
0.05,2863
0.05,2622
0.05,2220
0.05,4164
0.06,4452
0.06,2996
0.06,3411
0.06,2783
0.06,3111
0.06,3075
0.06,3490
0.06,3033
0.06,2800
0.06,2842
0.06,1779
0.06,3807
0.06,5741
0.06,3634
0.06,4161
0.06,4275
0.06,2166
0.06,3233
0.06,2656
0.06,2781
0.06,4348
0.06,2537
0.06,2431
0.06,3287
0.06,3409
0.06,3313
0.06,3127
0.06,5724
0.06,2631
0.06,2771
0.06,1797
0.06,2984
0.06,1860
0.06,2049
0.06,2375
0.06,3329
0.06,3035
0.06,4142
0.06,3234
0.06,3072
0.06,2393
0.06,2598
0.06,3361
0.06,1479
0.06,3993
0.06,1552
0.06,2430
0.06,7332
0.06,4339
0.06,2501
0.06,6471
0.06,2625
0.06,3713
0.06,1711
0.06,3285
0.06,3031
0.06,3072
0.06,2559
0.06,3285
0.06,2602
0.06,3195
0.06,4380
0.06,12725
0.06,3086
0.06,1849
0.06,1389
0.06,2126
0.06,2570
0.06,2998
0.06,2084
0.06,2174
0.06,3090
0.06,2953
0.06,2702
0.06,2436
0.06,2904
0.06,2906
0.06,3538
0.06,3636
0.06,2582
0.06,1838
0.06,3273
0.06,2033
0.06,3870
0.06,3765
0.06,2604
0.06,4394
0.06,2877
0.06,5409
0.06,2193
0.06,4097
0.06,2866
0.06,2141
0.06,2730
0.06,3113
0.06,2197
0.06,4114
0.06,2157
0.06,1740
0.06,2408
0.07,3388
0.07,3730
0.07,3211
0.07,1726
0.07,2451
0.07,4012
0.07,6917
0.07,2900
0.07,2031
0.07,2259
0.07,3485
0.07,4781
0.07,2368
0.07,3519
0.07,2854
0.07,2634
0.07,4289
0.07,1666
0.07,3600
0.07,2714
0.07,1929
0.07,3493
0.07,2248
0.07,1751
0.07,3860
0.07,3207
0.07,2362
0.07,2656
0.07,2632
0.07,2144
0.07,2246
0.07,2592
0.07,2998
0.07,2217
0.07,2797
0.07,1683
0.07,2753
0.07,2868
0.07,3801
0.07,2972
0.07,3382
0.07,2162
0.07,3641
0.07,2914
0.07,2560
0.07,1921
0.07,2949
0.07,2025
0.07,3140
0.07,3954
0.07,3607
0.07,4265
0.07,3013
0.07,4529
0.07,2669
0.07,3749
0.07,4904
0.07,3025
0.07,2998
0.07,3698
0.07,1927
0.07,4820
0.07,3064
0.07,6153
0.07,3683
0.07,4313
0.07,3001
0.07,3780
0.07,2781
0.07,2732
0.07,2701
0.07,4379
0.07,3007
0.07,3689
0.07,2603
0.07,4213
0.07,5824
0.07,1850
0.07,3150
0.07,2513
0.07,2885
0.07,1911
0.07,2713
0.07,3655
0.07,3380
0.07,2027
0.07,3704
0.07,5384
0.07,3830
0.07,5763
0.07,4589
0.07,2941
0.07,1582
0.07,2698
0.07,2418
0.07,5529
0.07,3224
0.07,1707
0.07,2298
0.07,3117
0.08,3208
0.08,2045
0.08,2584
0.08,3505
0.08,3194
0.08,2984
0.08,4491
0.08,3046
0.08,1944
0.08,2346
0.08,2748
0.08,2867
0.08,4563
0.08,4540
0.08,3336
0.08,2939
0.08,4742
0.08,3359
0.08,3192
0.08,3794
0.08,2915
0.08,2557
0.08,1993
0.08,2645
0.08,2485
0.08,2407
0.08,3709
0.08,2783
0.08,2807
0.08,4719
0.08,2025
0.08,3448
0.08,3659
0.08,2667
0.08,4959
0.08,2419
0.08,2107
0.08,4173
0.08,1936
0.08,3072
0.08,3645
0.08,4333
0.08,2932
0.08,4188
0.08,2516
0.08,3283
0.08,3960
0.08,2990
0.08,2714
0.08,3447
0.08,2619
0.08,2843
0.08,5209
0.08,1812
0.08,3338
0.08,3734
0.08,5556
0.08,3031
0.08,3104
0.08,4237
0.08,3106
0.08,3301
0.08,2764
0.08,5912
0.08,2401
0.08,4196
0.08,4341
0.08,2068
0.08,4271
0.08,3701
0.08,4976
0.08,3069
0.08,1702
0.08,2778
0.08,5414
0.08,2842
0.08,1592
0.08,3067
0.08,2772
0.08,6112
0.08,3008
0.08,4092
0.08,4117
0.08,5463
0.08,3960
0.08,4000
0.08,3368
0.08,2513
0.08,3982
0.08,2344
0.08,3044
0.08,4573
0.08,3276
0.08,2808
0.08,2604
0.08,3658
0.08,3491
0.08,2619
0.08,2340
0.08,3337
0.09,2059
0.09,2732
0.09,2404
0.09,2909
0.09,3035
0.09,2523
0.09,2129
0.09,3005
0.09,2274
0.09,2869
0.09,2534
0.09,2107
0.09,3531
0.09,1931
0.09,3422
0.09,4063
0.09,2180
0.09,2733
0.09,4418
0.09,6235
0.09,2247
0.09,3749
0.09,2694
0.09,4226
0.09,2960
0.09,1890
0.09,3640
0.09,1938
0.09,2803
0.09,4935
0.09,1988
0.09,3652
0.09,4512
0.09,3407
0.09,2442
0.09,4293
0.09,3429
0.09,3030
0.09,2741
0.09,4552
0.09,2823
0.09,8498
0.09,3060
0.09,2601
0.09,3591
0.09,3373
0.09,3657
0.09,3775
0.09,2906
0.09,4484
0.09,3085
0.09,2708
0.09,3258
0.09,2124
0.09,2577
0.09,2336
0.09,2101
